世代,個体No,実値,適応度, 係数0, 係数1, 係数2, 係数3, 係数4, 係数5, 係数6, 係数7, 係数8, 係数9
3553,13,1.000,10.000,0.87,0.86,0.26,0.44,0.45,0.80,0.47,0.83,0.50,0.71
3554,40,8.000,80.000,0.20,0.25,0.41,0.60,0.47,0.92,0.54,0.26,0.94,0.64
3555,15,8.000,80.000,0.41,0.21,0.25,0.25,0.07,0.72,0.25,0.83,0.94,0.69
3556,86,3.000,30.000,0.33,1.00,0.13,0.87,0.58,0.94,0.53,0.37,0.05,0.86
3557,70,6.000,60.000,0.21,0.16,0.48,0.71,0.17,0.64,0.82,0.07,0.88,0.02
3558,77,4.000,40.000,0.41,0.78,0.45,0.86,0.12,0.05,0.85,0.93,0.76,0.97
3559,15,8.000,80.000,0.25,0.81,0.30,0.01,0.09,0.63,0.45,0.85,0.80,0.67
3560,24,8.000,80.000,0.34,0.28,0.49,0.08,0.21,0.55,0.77,0.45,0.82,0.69
3561,69,4.000,40.000,0.31,0.69,0.27,0.43,1.00,0.15,0.58,0.29,0.40,0.75
3562,17,8.000,80.000,0.46,0.58,0.24,0.94,0.97,0.80,0.08,0.72,0.90,0.92
3563,28,1.000,10.000,0.08,0.63,0.69,0.34,0.30,0.44,0.02,0.43,0.97,0.20
3564,7,3.000,30.000,0.27,0.37,0.94,0.03,0.44,0.20,0.95,0.67,0.68,0.73
3565,35,8.000,80.000,0.23,0.91,0.16,0.30,1.00,0.98,0.95,0.80,0.79,0.84
3566,49,8.000,80.000,0.09,0.13,0.27,0.47,0.25,0.52,0.75,0.63,0.86,0.89
3567,97,4.000,40.000,0.46,0.32,0.49,0.48,0.20,0.07,0.58,0.42,0.84,0.53
3568,36,6.000,60.000,0.46,0.01,0.13,0.61,0.73,0.55,0.89,0.12,0.52,0.36
3569,8,6.000,60.000,0.15,0.72,0.27,0.90,0.52,0.68,0.27,0.31,0.80,0.30
3570,63,8.000,80.000,0.20,0.05,0.07,0.23,0.34,0.77,0.81,0.18,0.58,0.82
3571,7,6.000,60.000,0.39,0.77,0.22,0.64,0.03,0.51,0.12,0.06,0.92,0.36
3572,15,6.000,60.000,0.31,0.19,0.24,0.13,0.71,0.83,0.54,0.04,0.99,0.36
3573,22,4.000,40.000,0.44,0.84,0.29,0.47,0.67,0.19,0.82,0.95,0.76,0.84
3574,4,6.000,60.000,0.47,0.39,0.25,0.86,0.36,0.91,0.43,0.27,0.98,0.45
3575,45,6.000,60.000,0.27,0.20,0.44,0.69,0.28,0.60,0.57,0.79,0.90,0.37
3576,46,4.000,40.000,0.16,0.02,0.08,0.60,0.35,0.36,0.94,0.47,0.03,0.90
3577,66,6.000,60.000,0.26,0.21,0.20,0.23,0.70,0.85,0.98,0.10,0.64,0.19
3578,48,6.000,60.000,0.48,0.33,0.49,0.95,0.49,0.97,0.17,0.52,0.66,0.42
3579,8,6.000,60.000,0.35,0.13,0.48,0.18,0.38,0.65,0.68,0.84,0.96,0.50
3580,30,8.000,80.000,0.09,0.38,0.07,0.00,0.06,0.70,0.49,0.89,0.54,0.73
3581,51,1.000,10.000,0.26,0.92,0.47,0.99,0.26,0.15,0.24,0.43,0.73,0.12
3582,11,3.000,30.000,0.31,0.60,0.77,0.06,0.01,0.16,0.60,0.65,0.39,0.78
3583,99,8.000,80.000,0.23,0.96,0.13,0.79,0.63,0.59,0.59,0.73,0.74,0.84
3584,78,8.000,80.000,0.09,0.51,0.29,0.66,0.83,0.74,0.49,0.29,0.81,0.69
3585,6,8.000,80.000,0.05,0.56,0.27,0.78,0.00,0.87,0.35,0.74,0.66,0.99
3586,9,8.000,80.000,0.19,0.79,0.13,0.14,0.58,0.91,0.36,0.27,0.77,0.54
3587,70,8.000,80.000,0.40,0.66,0.17,0.68,0.61,0.72,0.49,0.30,0.64,0.99
3588,76,6.000,60.000,0.36,0.33,0.23,0.66,0.80,0.61,0.91,1.00,0.88,0.19
3589,98,6.000,60.000,0.41,0.45,0.23,0.98,0.72,0.75,0.70,0.35,0.55,0.23
3590,30,8.000,80.000,0.02,0.50,0.06,0.11,0.86,0.92,0.03,0.52,0.58,0.70
3591,4,3.000,30.000,0.44,0.39,0.30,0.91,0.04,0.66,0.22,0.20,0.37,0.63
3592,68,8.000,80.000,0.09,0.39,0.48,0.11,0.81,0.86,0.20,0.26,0.79,0.94
3593,97,4.000,40.000,0.35,0.09,0.49,0.52,0.74,0.32,0.89,0.59,0.47,1.00
3594,69,6.000,60.000,0.35,0.77,0.48,0.84,0.31,0.96,0.80,0.18,0.73,0.03
3595,61,8.000,80.000,0.12,0.88,0.35,0.84,0.74,0.82,0.07,0.54,0.97,0.79
3596,12,8.000,80.000,0.47,0.55,0.36,0.20,0.75,0.88,0.02,0.14,0.97,0.83
3597,81,8.000,80.000,0.10,0.26,0.13,0.85,0.33,0.67,0.40,0.10,0.87,0.97
3598,89,4.000,40.000,0.24,0.14,0.07,0.29,0.72,0.42,0.80,0.34,0.05,0.59
3599,42,3.000,30.000,0.12,0.42,0.27,0.44,0.09,0.65,0.85,0.14,0.47,0.35
3600,4,3.000,30.000,0.23,0.74,0.47,0.24,0.40,0.99,0.77,0.82,0.38,0.05
3601,1,3.000,30.000,0.31,0.50,0.60,0.17,0.40,0.20,0.69,0.07,0.83,0.77
3602,45,3.000,30.000,0.03,0.48,0.86,0.75,0.92,0.44,0.91,0.84,0.02,0.57
3603,13,1.000,10.000,0.05,0.62,0.80,0.75,0.86,0.38,0.09,0.44,0.08,0.52
3604,57,3.000,30.000,0.35,0.53,0.93,0.50,0.05,0.40,0.86,0.54,1.00,0.56
3605,47,8.000,80.000,0.27,0.76,0.11,0.62,0.96,0.56,0.67,0.33,0.56,0.68
3606,45,6.000,60.000,0.41,0.48,0.15,0.66,0.45,0.95,0.35,0.23,0.74,0.17
3607,95,8.000,80.000,0.42,0.84,0.23,0.79,0.80,0.68,0.27,0.41,0.71,0.91
3608,71,6.000,60.000,0.08,0.16,0.02,0.63,0.14,0.85,0.01,0.88,0.61,0.18
3609,61,4.000,40.000,0.36,0.98,0.11,0.40,0.62,0.12,0.78,0.80,0.25,0.66
3610,53,1.000,10.000,0.81,0.88,0.33,0.48,0.62,0.76,0.45,0.67,0.56,0.52
3611,9,4.000,40.000,0.13,0.78,0.43,0.96,0.18,0.18,0.60,0.18,0.56,0.75
3612,29,3.000,30.000,0.44,0.47,0.41,0.28,0.25,0.95,0.74,0.49,0.11,0.21
3613,37,6.000,60.000,0.21,0.39,0.25,0.49,0.10,0.72,0.69,0.03,0.78,0.13
3614,96,3.000,30.000,0.12,0.62,0.76,0.64,0.81,0.26,0.59,0.95,0.71,0.56
3615,99,3.000,30.000,0.06,0.86,0.97,0.37,0.86,0.39,0.95,0.84,0.93,0.86
3616,53,3.000,30.000,0.31,0.78,0.76,0.46,0.77,0.03,0.88,0.87,0.63,0.68
3617,87,4.000,40.000,0.33,0.27,0.09,0.17,0.18,0.27,0.58,0.06,0.04,0.93
3618,99,8.000,80.000,0.45,0.85,0.32,0.72,0.75,1.00,0.38,0.64,0.72,0.85
3619,73,6.000,60.000,0.14,0.50,0.45,0.21,0.62,0.52,0.47,0.83,0.70,0.39
3620,55,8.000,80.000,0.47,0.96,0.25,0.10,0.62,0.51,0.76,0.17,0.83,0.98
3621,88,8.000,80.000,0.17,0.81,0.04,0.06,0.74,0.51,0.75,0.36,0.63,0.97
3622,45,3.000,30.000,0.12,0.29,0.15,0.95,0.88,0.97,0.97,0.44,0.18,0.53
3623,50,3.000,30.000,0.29,0.37,0.10,0.12,0.96,0.58,0.60,0.74,0.30,0.62
3624,68,4.000,40.000,0.15,0.88,0.11,0.40,0.65,0.06,0.63,0.81,0.41,0.52
3625,41,3.000,30.000,0.12,0.06,0.02,0.95,0.48,0.74,0.44,0.17,0.18,0.59
3626,21,8.000,80.000,0.44,0.96,0.46,0.54,0.79,0.59,0.28,0.03,0.67,0.76
3627,95,4.000,40.000,0.30,0.52,0.43,0.48,0.37,0.35,0.57,0.01,0.86,0.97
3628,25,4.000,40.000,0.02,0.41,0.41,0.20,0.41,0.38,0.66,0.70,0.21,0.78
3629,48,8.000,80.000,0.37,0.62,0.35,0.20,0.43,0.67,0.08,0.62,0.86,0.81
3630,47,3.000,30.000,0.10,0.30,0.33,0.16,0.19,0.52,0.60,0.22,0.27,0.15
3631,29,6.000,60.000,0.01,0.22,0.26,0.49,0.88,0.67,0.67,0.41,0.75,0.07
3632,59,6.000,60.000,0.20,0.26,0.40,0.77,0.49,0.54,0.37,0.88,1.00,0.36
3633,99,3.000,30.000,0.49,0.53,0.46,0.83,0.48,0.57,0.55,0.56,0.49,0.47
3634,86,6.000,60.000,0.43,0.08,0.06,0.55,0.82,0.66,0.67,0.60,0.99,0.31
3635,9,1.000,10.000,0.66,0.90,0.06,0.07,0.84,0.91,0.41,0.46,0.21,0.83
3636,56,6.000,60.000,0.14,0.87,0.28,0.79,0.07,0.75,0.73,0.87,0.99,0.26
3637,22,4.000,40.000,0.22,0.68,0.40,0.39,0.42,0.43,0.54,0.39,0.46,0.65
3638,26,8.000,80.000,0.00,0.83,0.08,0.25,0.96,0.89,0.19,0.52,0.59,0.77
3639,16,6.000,60.000,0.12,0.02,0.24,0.93,0.21,0.88,0.52,0.32,0.96,0.48
3640,18,3.000,30.000,0.02,0.93,0.41,0.75,0.34,0.75,0.74,0.63,0.05,0.70
3641,32,6.000,60.000,0.43,0.10,0.10,0.50,0.89,0.95,0.08,0.12,0.94,0.03
3642,37,3.000,30.000,0.48,1.00,0.57,0.96,0.60,0.12,0.89,0.40,0.49,0.54
3643,22,0.000,0.000,0.21,0.85,0.83,0.51,0.55,0.70,0.51,0.11,0.81,0.60
3644,83,6.000,60.000,0.10,0.71,0.22,0.43,0.68,0.68,0.75,0.87,0.76,0.29
3645,86,6.000,60.000,0.12,0.89,0.08,0.39,0.19,0.96,0.82,0.48,0.78,0.19
3646,36,6.000,60.000,0.40,0.62,0.12,0.72,0.30,0.93,0.47,0.93,0.63,0.12
3647,26,6.000,60.000,0.38,0.42,0.47,0.81,1.00,0.88,0.17,0.01,0.78,0.41
3648,55,8.000,80.000,0.04,0.06,0.40,0.67,0.40,0.87,0.89,0.42,0.66,0.87
3649,74,6.000,60.000,0.46,0.53,0.49,0.32,0.09,0.70,0.74,0.65,0.65,0.34
3650,89,8.000,80.000,0.19,0.64,0.44,0.71,0.67,0.86,0.14,0.83,0.94,0.86
3651,36,8.000,80.000,0.04,0.09,0.03,0.51,0.73,0.84,0.94,0.44,0.51,0.75
3652,5,8.000,80.000,0.46,0.40,0.29,0.41,0.94,0.56,0.96,0.71,0.95,0.95
3653,40,8.000,80.000,0.01,0.09,0.04,0.52,0.28,0.52,0.87,0.96,0.54,0.74
3654,3,6.000,60.000,0.41,0.21,0.33,0.82,0.27,0.59,0.12,0.45,0.74,0.27
3655,29,8.000,80.000,0.16,0.76,0.23,0.20,0.40,0.66,0.41,0.56,0.69,0.58
3656,95,3.000,30.000,0.35,0.34,0.18,0.96,0.60,0.97,0.62,0.59,0.17,0.26
3657,74,8.000,80.000,0.25,0.81,0.42,0.51,0.62,0.64,0.03,0.02,0.91,0.78
3658,37,8.000,80.000,0.44,0.42,0.26,0.52,0.95,0.85,0.90,0.70,0.66,0.55
3659,21,1.000,10.000,0.39,0.19,0.03,0.84,0.72,0.24,0.17,0.41,0.52,0.19
3660,4,6.000,60.000,0.29,0.42,0.24,0.76,0.22,0.63,0.18,0.08,0.64,0.21
3661,40,6.000,60.000,0.42,0.17,0.13,0.24,0.15,0.84,0.49,0.86,0.86,0.42
3662,24,8.000,80.000,0.34,0.60,0.38,0.13,0.11,0.58,0.97,0.38,0.96,0.88
3663,3,3.000,30.000,0.10,0.73,0.02,0.11,0.33,0.54,0.07,0.71,0.06,0.99
3664,17,3.000,30.000,0.36,0.40,0.85,0.24,0.54,0.08,1.00,0.54,0.29,0.53
3665,15,6.000,60.000,0.05,0.81,0.13,0.11,0.39,0.67,0.81,0.68,0.79,0.23
3666,62,8.000,80.000,0.21,0.37,0.14,0.54,0.81,0.86,0.48,0.34,0.80,0.86
3667,1,3.000,30.000,0.14,0.77,0.62,0.76,0.11,0.33,0.72,0.05,0.26,0.94
3668,80,8.000,80.000,0.17,0.64,0.44,0.70,0.66,0.70,0.09,0.31,0.63,0.96
3669,77,8.000,80.000,0.48,0.63,0.19,0.49,0.50,0.81,0.85,0.49,0.84,0.94
3670,3,3.000,30.000,0.28,0.45,0.79,0.13,0.63,0.22,0.62,0.11,0.13,0.58
3671,8,3.000,30.000,0.04,0.29,0.46,0.72,0.73,0.77,0.31,0.35,0.15,0.48
3672,26,8.000,80.000,0.22,0.74,0.04,0.63,0.91,0.87,0.82,0.55,0.75,0.90
3673,45,6.000,60.000,0.42,0.09,0.39,0.05,0.89,0.57,0.11,0.38,0.75,0.20
3674,17,8.000,80.000,0.27,0.96,0.23,0.46,0.55,0.99,0.22,0.19,0.64,0.54
3675,41,4.000,40.000,0.45,0.55,0.35,0.05,0.53,0.38,0.81,0.21,0.52,0.76
3676,94,8.000,80.000,0.22,0.47,0.48,0.37,0.63,0.72,0.85,0.52,0.88,0.81
3677,10,4.000,40.000,0.30,0.95,0.42,0.94,0.06,0.29,0.73,0.80,0.87,0.55
3678,78,8.000,80.000,0.09,0.95,0.13,0.94,0.01,0.86,0.07,0.69,0.63,0.58
3679,37,4.000,40.000,0.14,0.27,0.08,0.23,0.12,0.29,0.61,0.28,0.55,0.96
3680,93,6.000,60.000,0.34,0.88,0.48,0.91,0.11,0.96,0.16,0.37,0.88,0.32
3681,22,3.000,30.000,0.19,0.25,0.84,0.99,0.38,0.39,0.66,0.33,0.56,0.61
3682,39,3.000,30.000,0.21,0.31,0.27,0.91,0.23,0.91,0.71,0.25,0.04,0.70
3683,25,3.000,30.000,0.18,0.74,0.30,0.77,0.26,0.74,0.75,0.15,0.40,0.15
3684,77,3.000,30.000,0.13,0.54,0.82,0.39,0.72,0.46,0.75,0.64,0.85,0.83
3685,60,8.000,80.000,0.23,0.32,0.12,0.89,0.25,0.93,0.70,0.04,0.62,0.63
3686,19,4.000,40.000,0.47,0.84,0.00,0.58,0.72,0.04,0.67,0.93,0.20,0.72
3687,46,8.000,80.000,0.24,0.80,0.46,0.14,0.33,0.99,0.68,0.91,0.59,0.86
3688,22,8.000,80.000,0.22,0.61,0.48,0.02,0.98,0.62,0.88,0.43,0.94,0.91
3689,5,8.000,80.000,0.39,0.64,0.11,0.44,0.68,0.84,0.40,0.91,0.53,0.70
3690,44,8.000,80.000,0.33,0.17,0.37,0.76,0.54,0.80,0.72,0.04,0.89,0.74
3691,60,8.000,80.000,0.06,0.35,0.32,0.98,0.76,0.60,0.36,0.69,0.94,0.64
3692,95,6.000,60.000,0.14,0.15,0.09,0.25,0.96,0.94,0.49,0.41,0.54,0.46
3693,35,8.000,80.000,0.17,0.06,0.49,0.45,0.06,0.80,0.11,0.97,0.68,0.56
3694,99,8.000,80.000,0.39,0.67,0.14,0.43,0.87,0.52,0.61,0.62,0.81,0.96
3695,54,3.000,30.000,0.34,0.16,0.10,0.47,0.37,0.54,0.76,0.96,0.36,0.02
3696,43,6.000,60.000,0.28,0.54,0.34,0.87,0.88,0.60,0.48,0.30,0.83,0.06
3697,21,3.000,30.000,0.08,0.28,0.30,0.22,0.38,0.96,0.27,0.93,0.37,0.47
3698,15,8.000,80.000,0.17,0.63,0.06,0.72,0.97,0.80,0.84,0.82,0.81,0.77
3699,24,6.000,60.000,0.41,0.38,0.18,0.28,0.31,0.85,0.95,0.46,0.70,0.08
3700,17,6.000,60.000,0.40,1.00,0.37,0.09,0.93,0.74,0.32,0.66,0.59,0.42
3701,86,6.000,60.000,0.43,0.92,0.03,0.31,0.58,0.78,0.58,0.45,0.69,0.41
3702,67,6.000,60.000,0.24,0.18,0.33,0.40,0.63,0.69,0.58,0.40,0.90,0.25
3703,14,3.000,30.000,0.23,0.96,0.92,0.40,0.30,0.09,0.61,0.91,0.56,0.51
3704,47,8.000,80.000,0.26,0.78,0.18,0.40,0.55,0.83,0.78,0.89,0.67,0.78
3705,87,6.000,60.000,0.28,0.03,0.48,0.82,0.11,0.75,0.73,0.89,0.94,0.11
3706,6,4.000,40.000,0.06,0.69,0.04,0.06,0.37,0.40,0.89,0.06,0.05,0.65
3707,43,3.000,30.000,0.11,0.95,0.40,0.50,0.95,0.92,0.20,0.98,0.42,0.15
3708,56,8.000,80.000,0.38,0.29,0.23,0.85,0.73,0.84,0.38,0.41,0.57,0.59
3709,33,8.000,80.000,0.35,0.41,0.19,0.75,0.38,0.70,0.21,0.56,0.65,0.96
3710,33,6.000,60.000,0.00,0.46,0.36,0.75,0.05,0.84,0.90,0.63,0.94,0.01
3711,25,3.000,30.000,0.18,0.06,0.39,0.25,0.19,0.95,0.47,0.28,0.31,0.32
3712,94,6.000,60.000,0.27,0.17,0.35,0.78,0.10,0.62,0.68,0.78,0.79,0.08
3713,91,3.000,30.000,0.18,0.75,0.07,0.16,0.18,0.55,0.97,0.52,0.20,0.67
3714,10,8.000,80.000,0.39,0.19,0.19,0.69,0.57,0.54,0.98,0.06,0.69,0.54
3715,78,4.000,40.000,0.22,0.65,0.44,0.30,0.20,0.01,0.64,0.54,0.01,0.57
3716,30,3.000,30.000,0.27,0.95,0.26,0.69,0.77,0.58,0.42,0.20,0.21,0.04
3717,39,6.000,60.000,0.45,0.41,0.23,0.39,0.52,0.95,0.23,0.53,0.88,0.07
3718,20,4.000,40.000,0.02,0.18,0.25,0.37,0.48,0.17,0.53,0.15,0.08,0.81
3719,87,8.000,80.000,0.29,0.97,0.36,0.80,0.96,0.86,0.36,0.76,0.87,0.83
3720,90,6.000,60.000,0.24,0.28,0.09,0.90,0.52,0.69,0.88,0.98,0.64,0.45
3721,37,8.000,80.000,0.45,0.11,0.19,0.72,0.90,0.66,0.25,0.49,0.74,0.86
3722,61,8.000,80.000,0.44,0.99,0.34,0.13,0.56,0.93,0.37,1.00,0.59,0.95
3723,49,8.000,80.000,0.04,0.99,0.44,0.65,0.70,0.59,0.41,0.94,0.53,0.61
3724,9,3.000,30.000,0.21,0.51,0.96,0.27,0.45,0.06,0.69,0.43,0.20,0.74
3725,22,8.000,80.000,0.01,0.01,0.15,0.58,0.13,0.88,0.83,0.23,0.89,0.92
3726,60,3.000,30.000,0.01,0.88,0.11,0.43,0.45,0.87,0.40,0.13,0.14,0.56
3727,10,8.000,80.000,0.33,0.86,0.11,0.55,0.20,0.82,0.70,0.55,0.52,0.76
3728,11,8.000,80.000,0.30,0.38,0.47,0.44,0.05,0.92,0.27,1.00,0.97,0.58
3729,35,8.000,80.000,0.03,0.67,0.14,0.77,0.07,0.51,0.41,0.70,0.69,0.88
3730,31,8.000,80.000,0.36,0.19,0.41,0.93,0.74,0.73,0.61,0.57,0.74,0.94
3731,14,6.000,60.000,0.21,0.57,0.22,0.33,0.13,0.64,0.92,0.66,0.94,0.18
3732,57,8.000,80.000,0.14,0.35,0.13,0.87,0.84,0.59,0.11,0.18,0.85,0.87
3733,25,3.000,30.000,0.43,0.22,0.83,0.87,0.87,0.18,0.73,0.39,0.87,0.67
3734,63,8.000,80.000,0.02,0.45,0.20,0.10,0.96,0.55,0.38,0.47,0.54,0.82
3735,46,8.000,80.000,0.02,0.73,0.33,0.93,0.19,0.97,0.63,0.77,0.79,0.93
3736,65,4.000,40.000,0.37,0.87,0.24,0.45,0.07,0.44,0.66,0.91,0.85,0.60
3737,13,6.000,60.000,0.00,0.73,0.21,0.93,0.59,0.89,0.26,0.38,0.94,0.06
3738,18,3.000,30.000,0.15,0.72,0.80,0.53,0.24,0.04,0.90,0.82,0.11,0.99
3739,8,3.000,30.000,0.01,0.50,0.80,0.11,0.71,0.32,0.97,0.76,0.86,0.86
3740,36,8.000,80.000,0.11,0.12,0.28,0.70,0.54,0.73,0.68,0.13,0.74,0.53
3741,9,6.000,60.000,0.05,0.53,0.19,0.96,0.37,0.79,0.27,0.99,0.78,0.08
3742,27,8.000,80.000,0.10,0.80,0.40,0.06,0.91,0.99,0.29,0.06,0.86,0.70
3743,16,6.000,60.000,0.18,0.99,0.11,0.53,0.56,0.70,0.21,0.83,0.63,0.20
3744,88,3.000,30.000,0.49,0.01,0.03,0.49,0.38,0.65,0.29,0.99,0.07,0.46
3745,20,8.000,80.000,0.05,0.04,0.22,0.91,0.22,0.77,0.67,0.37,0.79,0.71
3746,10,8.000,80.000,0.42,0.92,0.12,0.92,0.79,0.62,0.59,0.81,0.96,0.69
3747,2,8.000,80.000,0.46,0.82,0.32,0.21,0.57,0.88,0.26,0.23,0.75,0.51
3748,10,3.000,30.000,0.11,0.56,0.57,0.22,0.34,0.11,0.68,0.88,0.98,0.95
3749,16,8.000,80.000,0.37,0.48,0.18,0.40,0.06,0.98,0.84,0.96,0.62,1.00
3750,5,8.000,80.000,0.22,0.08,0.02,0.42,0.32,0.60,0.22,0.53,0.98,0.65
3751,9,8.000,80.000,0.01,0.79,0.32,0.59,0.46,0.92,0.97,0.01,0.99,0.82
3752,79,1.000,10.000,0.50,0.03,0.44,0.16,0.81,0.11,0.01,0.37,0.14,0.02
3753,27,4.000,40.000,0.01,0.47,0.22,0.60,0.18,0.47,0.98,0.52,0.09,0.73
3754,30,6.000,60.000,0.07,0.98,0.46,0.84,0.51,0.71,0.34,0.16,0.88,0.16
3755,83,8.000,80.000,0.04,0.15,0.15,0.74,0.86,0.59,0.90,0.53,0.95,0.59
3756,25,3.000,30.000,0.41,0.03,0.03,0.80,0.52,0.54,0.81,0.35,0.48,0.72
3757,71,4.000,40.000,0.02,0.30,0.46,0.44,0.65,0.05,0.94,0.73,0.91,0.60
3758,61,8.000,80.000,0.38,0.26,0.17,0.71,0.99,0.87,0.18,0.48,0.68,0.74
3759,47,4.000,40.000,0.14,0.02,0.15,0.66,0.62,0.47,0.62,0.45,0.89,0.77
3760,9,3.000,30.000,0.48,0.08,0.72,0.43,0.54,0.13,0.50,0.85,0.72,0.65
3761,48,4.000,40.000,0.17,0.57,0.44,0.81,0.23,0.02,0.59,0.52,0.36,0.74
3762,40,8.000,80.000,0.07,0.14,0.09,0.72,0.44,0.83,0.07,0.96,0.88,0.98
3763,76,4.000,40.000,0.17,0.47,0.45,0.98,0.58,0.10,0.87,0.42,0.65,0.91
3764,8,8.000,80.000,0.14,0.49,0.04,0.77,0.90,0.93,0.64,0.41,0.97,0.58
3765,34,4.000,40.000,0.46,0.57,0.03,0.07,0.95,0.30,0.85,0.06,0.39,0.99
3766,6,4.000,40.000,0.34,0.25,0.35,0.93,0.59,0.26,0.66,0.77,0.57,0.79
3767,23,3.000,30.000,0.04,0.93,0.21,0.62,0.99,0.62,0.30,0.88,0.01,0.22
3768,83,8.000,80.000,0.45,0.42,0.16,0.66,0.79,0.65,0.90,0.32,0.85,0.97
3769,28,6.000,60.000,0.17,0.92,0.35,0.81,0.99,0.88,0.06,0.98,0.65,0.08
3770,13,3.000,30.000,0.06,0.11,0.51,0.46,0.47,0.30,0.90,0.86,0.81,0.96
3771,29,4.000,40.000,0.15,0.58,0.28,0.33,0.84,0.41,0.67,0.94,0.16,0.51
3772,6,8.000,80.000,0.46,0.90,0.09,0.78,0.90,0.84,0.91,0.64,0.75,0.93
3773,57,3.000,30.000,0.12,0.55,0.80,0.58,0.75,0.28,0.51,0.89,0.99,0.75
3774,60,6.000,60.000,0.32,0.62,0.50,0.25,0.78,0.92,0.19,0.55,0.67,0.42
3775,68,8.000,80.000,0.41,0.76,0.12,0.99,0.91,0.98,0.49,0.93,0.54,0.58
3776,38,3.000,30.000,0.12,0.30,0.19,0.40,0.36,0.50,0.25,0.94,0.15,0.22
3777,71,4.000,40.000,0.33,0.11,0.45,0.82,0.94,0.00,0.57,0.25,0.25,0.90
3778,7,8.000,80.000,0.00,0.27,0.01,0.75,0.11,0.84,0.36,0.10,0.50,0.94
3779,58,8.000,80.000,0.03,0.37,0.10,0.72,0.10,0.96,0.24,0.60,0.98,0.55
3780,93,4.000,40.000,0.24,0.55,0.03,0.97,0.59,0.40,0.94,0.25,0.48,0.82
3781,69,6.000,60.000,0.03,0.70,0.12,0.75,0.29,0.56,0.40,1.00,0.69,0.30
3782,15,3.000,30.000,0.36,0.97,0.50,0.20,0.66,0.77,0.71,0.82,0.14,0.32
3783,72,3.000,30.000,0.20,0.48,0.37,0.29,0.89,0.57,0.46,0.38,0.16,0.53
3784,8,1.000,10.000,0.91,0.99,0.18,0.92,0.58,0.55,0.77,0.68,0.26,0.94
3785,27,8.000,80.000,0.43,0.83,0.23,0.44,0.01,0.51,0.07,0.54,0.76,0.97
3786,17,8.000,80.000,0.40,0.97,0.24,0.11,0.69,0.68,0.00,0.57,0.73,0.85
3787,55,8.000,80.000,0.02,0.68,0.30,0.74,0.53,0.58,0.98,0.18,0.65,0.85
3788,59,8.000,80.000,0.46,0.56,0.41,0.30,0.69,0.74,0.78,0.77,0.68,0.99
3789,44,8.000,80.000,0.02,0.82,0.27,0.01,0.77,0.86,0.46,0.31,0.83,0.94
3790,93,3.000,30.000,0.01,0.39,0.02,0.38,0.56,0.98,0.63,0.42,0.15,0.34
3791,34,6.000,60.000,0.18,0.62,0.40,0.08,0.92,0.62,0.20,0.41,0.65,0.25
3792,80,8.000,80.000,0.17,0.13,0.38,0.19,0.33,0.94,0.97,0.92,0.97,0.77
3793,78,8.000,80.000,0.14,0.65,0.47,0.40,0.72,0.60,0.69,0.80,0.76,0.93
3794,14,6.000,60.000,0.40,0.45,0.36,0.66,0.43,0.81,0.25,0.10,0.96,0.32
3795,85,4.000,40.000,0.15,0.26,0.43,0.45,0.24,0.24,0.85,0.31,0.70,0.81
3796,39,8.000,80.000,0.37,0.57,0.16,0.53,0.50,0.77,0.41,0.30,0.52,0.52
3797,2,8.000,80.000,0.03,0.22,0.27,0.17,0.92,0.91,0.44,0.48,0.70,0.50
3798,10,3.000,30.000,0.29,0.72,0.12,0.63,0.50,0.65,1.00,0.92,0.02,0.17
3799,23,8.000,80.000,0.38,0.83,0.43,0.92,0.07,0.65,0.18,0.79,0.78,0.56
3800,73,3.000,30.000,0.19,0.33,0.46,0.31,0.38,0.71,0.74,0.27,0.48,0.22
3801,28,1.000,10.000,0.67,0.73,0.02,0.38,0.63,0.87,0.28,0.90,0.59,0.00
3802,94,8.000,80.000,0.48,0.60,0.30,0.40,0.58,0.62,0.25,0.13,0.80,0.94
3803,36,6.000,60.000,0.05,0.68,0.48,0.43,0.68,0.56,0.57,0.17,0.84,0.20
3804,85,6.000,60.000,0.36,0.60,0.23,0.92,0.76,0.87,0.16,0.60,0.50,0.10
3805,96,8.000,80.000,0.25,0.72,0.04,0.80,0.06,0.91,0.76,0.14,0.76,0.59
3806,35,1.000,10.000,0.64,0.92,0.39,0.94,0.73,0.67,0.85,0.39,0.85,0.84
3807,35,6.000,60.000,0.09,0.39,0.41,0.18,0.01,0.94,0.79,0.40,0.64,0.00
3808,37,8.000,80.000,0.38,0.27,0.26,0.20,0.05,0.94,0.34,0.92,0.55,0.98
3809,23,8.000,80.000,0.17,0.21,0.36,0.40,0.72,0.78,0.11,0.34,0.65,0.54
3810,22,4.000,40.000,0.34,0.55,0.41,0.20,0.76,0.15,0.86,0.77,0.47,0.95
3811,48,8.000,80.000,0.06,0.74,0.43,0.59,0.95,0.98,0.36,0.30,0.87,0.51
3812,24,6.000,60.000,0.22,0.30,0.17,0.86,0.75,0.76,0.90,0.47,0.57,0.29
3813,68,4.000,40.000,0.06,0.85,0.47,0.51,0.45,0.26,0.70,0.72,0.80,0.59
3814,43,4.000,40.000,0.12,0.12,0.34,0.58,0.90,0.26,0.90,0.02,0.06,0.52
